container,size,run,read_s,split_s,write_vargs_s,write_kiet_s,total_s
list,1000,1,0.00329704,0.000120625,0.005155,0.00462746,0.0134949
list,1000,2,0.00182033,0.000180042,0.00185383,0.00197183,0.0060655
list,1000,3,0.00136354,7.9459e-05,0.00115062,0.00164183,0.00443533
list,1000,avg,0.00216031,0.000126709,0.00271982,0.00274704,0.00799858
list,10000,1,0.0109196,0.000579083,0.00824863,0.01042,0.0316856
list,10000,2,0.00696392,0.000470583,0.00619062,0.00856987,0.023275
list,10000,3,0.0060835,0.000373875,0.00581142,0.00777679,0.0212075
list,10000,avg,0.007989,0.000474514,0.00675022,0.00892224,0.0253893
list,100000,1,0.056451,0.00361763,0.049097,0.0721405,0.195062
list,100000,2,0.0538025,0.00352762,0.0495611,0.0707144,0.19146
list,100000,3,0.0535623,0.00352471,0.050411,0.072315,0.193653
list,100000,avg,0.0546053,0.00355665,0.0496897,0.0717233,0.193392
list,1000000,1,0.539136,0.0470564,0.500974,0.71342,1.96674
list,1000000,2,0.542846,0.03787,0.50499,0.729727,1.97976
list,1000000,3,0.5578,0.0389026,0.507885,0.719169,1.97457
list,1000000,avg,0.546594,0.0412763,0.504616,0.720772,1.97369
list,10000000,1,5.84482,0.799015,6.63946,9.7326,24.9048
list,10000000,2,5.73271,0.381031,6.93761,9.58655,24.5722
list,10000000,3,5.69686,0.415323,6.59444,9.74455,24.2847
list,10000000,avg,5.75813,0.53179,6.72384,9.6879,24.5872
